N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.879744,82.002744,6.502985,202.935536,rice
85,58,41,21.770462,80.319644,7.038096,226.655537,rice
60,55,44,23.004459,82.320763,7.840207,263.964248,rice
74,35,40,26.491096,80.158363,6.980401,242.864034,rice
78,42,42,20.130175,81.604873,7.628473,262.717340,rice
19,20,25,26.115274,52.044676,6.362609,127.924236,maize
60,35,40,24.0,60.0,6.5,110.0,maize
13,14,15,22.123,65.0,6.9,80.0,blackgram
11,13,12,23.15,70.5,6.7,90.0,mungbean
7,40,40,20.13,82.0,7.2,251.0,banana
50,20,30,26.0,60.0,6.5,50.0,cotton
40,50,40,27.0,75.0,6.0,120.0,grapes
30,30,30,25.0,68.0,6.4,100.0,lentil
20,69,55,18.07117,82.893762,6.232589,294.547495,chickpea
25,20,22,18.751902,83.086001,7.112789,208.893187,kidneybeans
20,27,40,18.967295,45.864451,7.362608,142.923569,pigeonpeas
39,42,36,18.935935,66.523301,6.858990,132.127103,mothbeans
104,18,30,23.603016,60.396475,6.779833,140.937041,banana
100,17,17,27.561112,51.359460,6.758793,71.481779,mango
15,15,16,21.547605,92.350623,6.593877,110.279834,apple
19,13,11,23.175224,86.869850,6.943935,94.052949,orange
105,19,19,26.651633,54.614609,5.881332,67.722366,papaya
108,21,20,25.585586,51.301495,6.939388,49.516033,coconut
104,35,30,24.919340,77.093050,5.994817,242.610952,cotton
95,23,27,26.821813,48.691397,4.963589,112.636365,jute
31,26,19,27.431163,65.254161,6.865720,177.809507,coffee
19,37,22,26.753182,73.321779,6.132951,105.941524,chickpea
50,60,56,25.8,72.3,6.2,180.0,pigeonpeas
87,45,48,22.5,83.0,7.0,220.0,rice
55,33,40,23.7,65.5,6.9,150.0,maize
8,30,35,19.5,80.0,7.5,200.0,banana
18,11,15,25.2,88.5,7.1,90.0,orange
90,15,20,26.0,53.0,6.8,60.0,mango
22,36,33,18.6,65.3,7.0,110.0,chickpea
45,25,30,26.5,60.0,6.5,70.0,cotton
95,50,45,24.0,70.0,6.0,160.0,grapes
23,32,28,28.0,76.0,6.7,250.0,coffee
20,30,35,23.5,82.0,7.3,180.0,banana
40,40,40,25.0,65.0,6.5,120.0,lentil
75,40,42,21.5,81.0,6.8,240.0,rice
14,35,20,18.8,78.0,7.6,300.0,kidneybeans
60,65,55,27.5,52.0,5.5,65.0,papaya
